Session,Date,O_RTH,H_RTH,L_RTH,C_RTH,HOD_Time,LOD_Time,Extreme_First,PUV_Points,PDV_Points,PUV_Percent,PDV_Percent,RTH_Range_Points,Calendar_Days_Since_Previous_Complete,ATR_Sequence_Reset,Previous_Complete_RTH_Close,TR_RTH,ATR14_Previous,ATR14_End,PUV_ATR,PDV_ATR,RTH_Volume,Bar_Count,Duplicate_Bars
229,2013-03-12,2217.75,2219.5,2210.25,2215.25,10:14:00,14:14:00,HOD_FIRST,1.75,7.5,0.0789088,0.33818059,9.25,1,0,2218.5,9.25,,,,,1249077,390,0
230,2013-03-13,2216.25,2219.5,2210.75,2217,13:47:00,09:49:00,LOD_FIRST,3.25,5.5,0.14664411,0.24816695,8.75,1,0,2215.25,8.75,,,,,990856,390,0
231,2013-03-14,2221,2225.75,2220.25,2225,15:46:00,10:21:00,LOD_FIRST,4.75,0.75,0.21386763,0.03376857,5.5,1,0,2217,8.75,,,,,989309,390,0
232,2013-03-15,2223,2225,2217.5,2223,12:47:00,10:01:00,LOD_FIRST,2,5.5,0.08996851,0.24741341,7.5,1,0,2225,7.5,,,,,1302107,390,0
233,2013-03-18,2207.75,2221,2206.25,2214,14:30:00,09:31:00,LOD_FIRST,13.25,1.5,0.60015853,0.06794248,14.75,3,0,2223,16.75,,,,,1554061,390,0
234,2013-03-19,2217.5,2219.5,2200.25,2210.75,09:34:00,13:26:00,HOD_FIRST,2,17.25,0.09019166,0.77790304,19.25,1,0,2214,19.25,,,,,2223513,390,0
235,2013-03-20,2219.75,2224.25,2217.25,2221,15:46:00,10:38:00,LOD_FIRST,4.5,2.5,0.20272553,0.1126253,7,1,0,2210.75,13.5,,,,,1273150,390,0
236,2013-03-21,2212.25,2217.5,2205,2207.75,11:46:00,14:08:00,HOD_FIRST,5.25,7.25,0.23731495,0.32772065,12.5,1,0,2221,16,,,,,1509580,390,0
237,2013-03-22,2212.75,2220.25,2211.5,2219.5,13:31:00,09:49:00,LOD_FIRST,7.5,1.25,0.33894475,0.05649079,8.75,1,0,2207.75,12.5,,,,,1220314,390,0
238,2013-03-25,2224.5,2227,2207.5,2214.25,10:01:00,13:12:00,HOD_FIRST,2.5,17,0.11238481,0.76421668,19.5,3,0,2219.5,19.5,,,,,1886660,390,0
239,2013-03-26,2220.5,2227,2218.75,2226.25,16:00:00,10:47:00,LOD_FIRST,6.5,1.75,0.29272686,0.07881108,8.25,1,0,2214.25,12.75,,,,,1240783,390,0
240,2013-03-27,2217,2226.75,2214.25,2225.75,15:32:00,09:36:00,LOD_FIRST,9.75,2.75,0.43978349,0.1240415,12.5,1,0,2226.25,12.5,,,,,1162313,390,0
241,2013-03-28,2225,2233,2223,2230.25,15:59:00,09:43:00,LOD_FIRST,8,2,0.35955056,0.08988764,10,1,0,2225.75,10,,12.57142857,,,1216496,390,0
242,2013-04-01,2230,2233.5,2221,2225,09:45:00,15:34:00,HOD_FIRST,3.5,9,0.15695067,0.40358744,12.5,4,0,2230.25,12.5,12.57142857,12.56632653,0.27840909,0.71590909,979636,390,0
243,2013-04-02,2230.5,2236.5,2228,2232.5,11:05:00,15:46:00,HOD_FIRST,6,2.5,0.26899798,0.11208249,8.5,1,0,2225,11.5,12.56632653,12.49016035,0.4774665,0.19894438,1274431,390,0
244,2013-04-03,2233.5,2234.75,2212.5,2217,09:33:00,15:42:00,HOD_FIRST,1.25,21,0.05596597,0.94022834,22.25,1,0,2232.5,22.25,12.49016035,13.18729175,0.10007878,1.68132349,1964658,390,0
245,2013-04-04,2218.75,2226,2215.25,2223,10:03:00,13:16:00,HOD_FIRST,7.25,3.5,0.32676056,0.15774648,10.75,1,0,2217,10.75,13.18729175,13.01319949,0.54977171,0.26540703,1456406,390,0
246,2013-04-05,2203.75,2217.75,2201.75,2216,15:57:00,09:32:00,LOD_FIRST,14,2,0.63528077,0.0907544,16,1,0,2223,21.25,13.01319949,13.60154238,1.07583074,0.15369011,1575184,390,0
247,2013-04-08,2216.75,2226.75,2211.5,2226.25,16:00:00,10:20:00,LOD_FIRST,10,5.25,0.45111086,0.2368332,15.25,3,0,2216,15.25,13.60154238,13.71928935,0.73521074,0.38598564,1092711,390,0
248,2013-04-09,2229.5,2237.5,2224,2231.75,14:44:00,09:59:00,LOD_FIRST,8,5.5,0.35882485,0.24669208,13.5,1,0,2226.25,13.5,13.71928935,13.70362583,0.58312058,0.4008954,1335206,390,0
249,2013-04-11,2251.5,2261.5,2249.5,2256.5,11:28:00,09:46:00,LOD_FIRST,10,2,0.44414835,0.08882967,12,2,0,2231.75,29.75,13.70362583,14.84979541,0.72973388,0.14594678,1422286,390,0
250,2013-04-12,2251.25,2254.75,2243.5,2252.25,09:48:00,11:08:00,HOD_FIRST,3.5,7.75,0.15546918,0.34425319,11.25,1,0,2256.5,13,14.84979541,14.71766717,0.23569348,0.52189271,1404111,390,0
251,2013-04-15,2244.25,2245.5,2215,2215.25,09:40:00,16:00:00,HOD_FIRST,1.25,29.25,0.05569789,1.30333073,30.5,3,0,2252.25,37.25,14.71766717,16.32711951,0.08493194,1.98740736,2316135,390,0
252,2013-04-16,2227,2239.25,2223,2238.25,15:59:00,10:49:00,LOD_FIRST,12.25,4,0.55006736,0.17961383,16.25,1,0,2215.25,24,16.32711951,16.8751824,0.75028544,0.24499116,1679148,390,0
253,2013-04-17,2227,2227.25,2206.5,2214.25,09:31:00,12:52:00,HOD_FIRST,0.25,20.5,0.01122586,0.92052088,20.75,1,0,2238.25,31.75,16.8751824,17.93766938,0.01481465,1.21480168,2449358,390,0
254,2013-04-18,2217.75,2218,2199.25,2205.25,09:31:00,14:59:00,HOD_FIRST,0.25,18.5,0.01127269,0.83417878,18.75,1,0,2214.25,18.75,17.93766938,17.99569299,0.01393715,1.03134915,1902662,390,0
255,2013-04-19,2208.5,2219.25,2204.75,2217.75,15:44:00,09:57:00,LOD_FIRST,10.75,3.75,0.48675572,0.16979851,14.5,1,0,2205.25,14.5,17.99569299,17.74600063,0.59736516,0.20838319,1417643,390,0
